Satellite,City,Latitude,Longitude,Azimuth,Elevation
07003U,Kinshasa,-4.325,15.3222,352.33023054129893,15.080232190696709
07003U,Luanda,-8.8383,13.2344,6.89067042795038,11.469602826606236
07003U,Johannesburg,-26.2044,28.0456,79.10321068033458,10.645960391435022
07003U,Dar es Salaam,-6.8161,39.2803,178.6150610205671,28.357382427865783
07003U,Nairobi,-1.2864,36.8172,214.10477003491525,32.56578244164597
07003U,Mogadishu,2.0392,45.3419,206.64082214156542,11.368799817080262
07003U,Lusaka,-15.4167,28.2833,76.05378327796649,33.58729575547008
07003U,Harare,-17.8292,31.0522,93.78963515925037,26.950109303170983
07003U,Blantyre,-15.7861,35.0058,120.53862616270608,28.52514217288206
07003U,Brazzaville,-4.2694,15.2714,352.1681839985275,14.971827952814188
07003U,Lubumbashi,-11.6647,27.4794,60.42496098563592,47.5219612978583
07003U,Kampala,0.3136,32.5811,247.45266770264794,40.09618239638053
07003U,Mombasa,-4.05,39.6667,192.69632531853907,26.44818445005909
07003U,Maputo,-25.9667,32.5833,93.95413990600846,11.408096375163677
07003U,Kigali,-1.9536,30.0606,268.99590809982936,54.74569958737641
07003U,Bujumbura,-3.3833,29.3667,281.87121398706574,63.79974398149193
07003U,Gaborone,-24.6581,25.9122,71.88047305893546,11.92631812229867
07003U,Mwanza,-2.5167,32.9,230.26344421969338,50.891120269748605
07003U,Arusha,-3.3667,36.6833,202.4643837988064,36.328110177235416
07003U,Goma,-1.6794,29.2336,280.21489196072565,52.62818454305567
07003U,Zanzibar,-6.165,39.199,182.11196811329538,28.617112423619716
07003U,Tunis,36.8064,10.1817,185.4206018790793,40.72189770759218
07003U,Cape Town,-33.9253,18.4239,193.57817532498635,12.52095524407528
07003U,Conakry,9.5092,-13.7122,208.24935674906473,14.098034644978487
07003U,Dakar,14.6928,-17.4467,228.06929839405933,13.816851271995802
07003U,Monrovia,6.3133,-10.8014,195.96402323840908,11.576877052772192
07003U,Serekunda,13.4333,-16.6667,223.68665463618206,14.380710703309735
07003U,Lagos,6.455,3.3841,15.83684967245454,15.702723156196495
07003U,Kinshasa,-4.325,15.3222,79.29953242554923,16.014832932879322
07003U,Khartoum,15.5006,32.56,197.63032502374557,13.843745060653786
07003U,Douala,4.05,9.7,38.6147584210026,26.834520018344012
07003U,Abuja,9.0667,7.4833,8.358298839831647,26.689482077399283
07003U,Yaoundé,3.8667,11.5167,46.75998903629172,30.844889753011252
07003U,Port Harcourt,4.8242,7.0336,27.873535458264566,21.815000951248035
07003U,Brazzaville,-4.2694,15.2714,79.08264708117699,16.099251631211576
07003U,Kampala,0.3136,32.5811,145.81831281762913,10.528849511079356
07003U,Kigali,-1.9536,30.0606,134.6819547598045,11.624677546170382
07003U,Bujumbura,-3.3833,29.3667,129.61674272053418,10.90294990898054
07003U,Libreville,0.3903,9.4542,50.004622922525265,19.655280726453324
07003U,Cotonou,6.3667,2.4333,15.209413983500951,13.966859167258775
07003U,Goma,-1.6794,29.2336,133.3849652604233,12.85527771985797
