Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Abuja,9.0667,7.4833,238.5466562170424,15.645155022759672
01002U,Abuja,9.0667,7.4833,65.37087964106432,11.548010262441124
01003U,Abuja,9.0667,7.4833,87.76213524123253,41.000689245044626
02001U,Abuja,9.0667,7.4833,64.28663225778247,10.674292893563143
02002U,Abuja,9.0667,7.4833,276.3423763646783,43.10850625133397
02003U,Abuja,9.0667,7.4833,295.199886913092,25.7843274208788
03001U,Abuja,9.0667,7.4833,304.1733160356989,10.598832838500453
04001U,Abuja,9.0667,7.4833,73.91917669353175,10.19920614569945
04002U,Abuja,9.0667,7.4833,230.7018063109917,10.993480988828136
04002U,Abuja,9.0667,7.4833,355.5943804773841,21.760529154885653
04003U,Abuja,9.0667,7.4833,4.583418134275025,20.448236586036728
05001U,Abuja,9.0667,7.4833,136.47943631248611,16.29588122134178
05001U,Abuja,9.0667,7.4833,282.3641215986386,21.488725876980777
07001U,Abuja,9.0667,7.4833,58.2650780863621,22.266269654847058
07001U,Abuja,9.0667,7.4833,220.1441333505592,11.768614198809594
07002U,Abuja,9.0667,7.4833,313.1061329067333,26.44529054720629
07003U,Abuja,9.0667,7.4833,8.358298839831647,26.689482077399283
08002U,Abuja,9.0667,7.4833,286.2315071857778,15.299037578361935
08003U,Abuja,9.0667,7.4833,272.17623119676455,53.49191317177925
09001U,Abuja,9.0667,7.4833,236.7139866343109,61.20590918087689
09002U,Abuja,9.0667,7.4833,144.4021123555116,17.840665391681142
10001U,Abuja,9.0667,7.4833,165.4684010795597,43.50380948125796
10002U,Abuja,9.0667,7.4833,15.392843759296479,15.013885044606756
