Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Accra,5.55,-0.2,126.44305872979265,16.15282342787085
01001U,Accra,5.55,-0.2,273.5367018990094,30.968416057311277
01003U,Accra,5.55,-0.2,51.875938465488936,20.03642689024534
02002U,Accra,5.55,-0.2,343.5657688156919,31.30307451793506
02003U,Accra,5.55,-0.2,333.50164646408854,18.205823058613554
03003U,Accra,5.55,-0.2,153.75543453311462,15.500445432708002
04002U,Accra,5.55,-0.2,249.2391738436237,25.264106199977935
04003U,Accra,5.55,-0.2,240.93556221412888,22.873002760677995
05001U,Accra,5.55,-0.2,99.21976619175551,17.34476698572142
05001U,Accra,5.55,-0.2,321.68667428023696,18.75316025152797
06001U,Accra,5.55,-0.2,272.04359047241786,10.505157370527208
06002U,Accra,5.55,-0.2,265.1292153873649,13.933184270853872
06002U,Accra,5.55,-0.2,192.75944824268765,16.144205327501176
06003U,Accra,5.55,-0.2,263.90409291223546,20.597009568728158
06003U,Accra,5.55,-0.2,173.9924696913287,17.929187930153184
07001U,Accra,5.55,-0.2,234.32642133230675,30.476649376725387
07002U,Accra,5.55,-0.2,343.959312083105,15.056083583057344
08002U,Accra,5.55,-0.2,317.03767375387446,13.360171281966768
08003U,Accra,5.55,-0.2,354.0350357811759,34.84113259476737
09001U,Accra,5.55,-0.2,8.82691635072414,41.87835387102849
09002U,Accra,5.55,-0.2,108.50402749718063,21.909902675240062
10001U,Accra,5.55,-0.2,63.33091452252495,43.09672517502473
