Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Arusha,-3.3667,36.6833,136.18862687354996,26.36889784042584
01002U,Arusha,-3.3667,36.6833,168.13173236010385,35.01692767416282
01003U,Arusha,-3.3667,36.6833,234.59737886347529,25.615070260289805
03001U,Arusha,-3.3667,36.6833,183.50134287979395,13.521310664822826
03002U,Arusha,-3.3667,36.6833,192.59891139713875,35.89990475326896
03003U,Arusha,-3.3667,36.6833,207.22304409446133,30.121283816548605
05001U,Arusha,-3.3667,36.6833,188.1393564445662,22.489195989043704
05002U,Arusha,-3.3667,36.6833,220.56730952080088,16.676151832155277
05002U,Arusha,-3.3667,36.6833,179.6019197005648,19.775193164275706
05003U,Arusha,-3.3667,36.6833,225.48634293781984,17.700565724487937
05003U,Arusha,-3.3667,36.6833,164.800060616667,18.996161680798487
06001U,Arusha,-3.3667,36.6833,187.89548253725556,34.801000773751554
07002U,Arusha,-3.3667,36.6833,231.51447709162258,25.930921292751126
07003U,Arusha,-3.3667,36.6833,202.4643837988064,36.328110177235416
09001U,Arusha,-3.3667,36.6833,150.10368288960106,24.87292584384924
09002U,Arusha,-3.3667,36.6833,240.51963641199754,12.371029771732903
09003U,Arusha,-3.3667,36.6833,173.4426620960814,37.420828904688065
10002U,Arusha,-3.3667,36.6833,209.37324738274478,18.050126192729756
10003U,Arusha,-3.3667,36.6833,183.2471341835421,35.40948207382716
