Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Bamako,12.6458,-7.9922,98.27886395341254,52.1710050296497
01003U,Bamako,12.6458,-7.9922,10.951323319568088,13.764437328372377
03001U,Bamako,12.6458,-7.9922,161.42531011149907,32.66876059857124
03001U,Bamako,12.6458,-7.9922,177.21139749216857,15.320871271484226
03002U,Bamako,12.6458,-7.9922,153.93848767651428,25.552891310549274
03003U,Bamako,12.6458,-7.9922,181.93157081696424,45.00114996620811
03003U,Bamako,12.6458,-7.9922,67.397643157796,16.395421968116793
04002U,Bamako,12.6458,-7.9922,281.395575144711,11.398722362920742
04003U,Bamako,12.6458,-7.9922,275.55678411662615,11.61483006092635
05001U,Bamako,12.6458,-7.9922,44.06924786397062,31.385106170846502
05002U,Bamako,12.6458,-7.9922,85.32784644764415,24.23904021082541
05003U,Bamako,12.6458,-7.9922,77.24808714034481,23.346775506476945
06001U,Bamako,12.6458,-7.9922,70.32229971816803,10.69277071818293
06002U,Bamako,12.6458,-7.9922,234.53621754390502,21.97364169418428
06003U,Bamako,12.6458,-7.9922,220.51703625914763,34.21762284355849
07001U,Bamako,12.6458,-7.9922,279.8015963093533,15.701385105757586
08001U,Bamako,12.6458,-7.9922,134.4108626919325,14.002500845951136
08002U,Bamako,12.6458,-7.9922,203.8173337826191,10.815241924649321
08003U,Bamako,12.6458,-7.9922,332.8685572978761,10.976802443137847
08003U,Bamako,12.6458,-7.9922,161.63914898130346,17.54408798411762
09001U,Bamako,12.6458,-7.9922,335.59513072429553,14.120474141872544
09002U,Bamako,12.6458,-7.9922,50.051307734944366,44.70154826712916
09003U,Bamako,12.6458,-7.9922,198.4023595556916,16.21682593242659
10001U,Bamako,12.6458,-7.9922,99.89703751516113,11.177493294054463
10001U,Bamako,12.6458,-7.9922,347.57425943081927,22.944521115428437
10002U,Bamako,12.6458,-7.9922,91.94982416969346,18.673948804830484
