Satellite,City,Latitude,Longitude,Azimuth,Elevation
01002U,Blantyre,-15.7861,35.0058,111.69495297479193,17.88479436444931
01003U,Blantyre,-15.7861,35.0058,152.8026712084236,46.92416299797195
02001U,Blantyre,-15.7861,35.0058,247.29488932433944,13.485915111893865
03001U,Blantyre,-15.7861,35.0058,140.2446613184057,10.78850647650086
03002U,Blantyre,-15.7861,35.0058,119.30746577897675,25.06441536478803
03003U,Blantyre,-15.7861,35.0058,131.49734029283127,29.18783466247089
05001U,Blantyre,-15.7861,35.0058,245.3134414317573,17.7100207854074
05001U,Blantyre,-15.7861,35.0058,130.70361257136466,17.167189420606313
05002U,Blantyre,-15.7861,35.0058,166.5171137008627,27.764335763517778
05002U,Blantyre,-15.7861,35.0058,132.23509578779087,14.190796851616474
05003U,Blantyre,-15.7861,35.0058,169.24426871773431,31.95935338825458
05003U,Blantyre,-15.7861,35.0058,123.53841414196107,10.28099417081839
06001U,Blantyre,-15.7861,35.0058,116.5488306976572,21.8405205671589
07002U,Blantyre,-15.7861,35.0058,150.28987746087373,44.084468506050825
07003U,Blantyre,-15.7861,35.0058,120.53862616270608,28.52514217288206
08001U,Blantyre,-15.7861,35.0058,179.48397068780744,14.455570072011364
09002U,Blantyre,-15.7861,35.0058,203.5709132670577,33.16597534745609
09003U,Blantyre,-15.7861,35.0058,111.4477811994122,19.747422336635285
10002U,Blantyre,-15.7861,35.0058,154.02729410394275,23.245815036390084
10003U,Blantyre,-15.7861,35.0058,110.4452130081267,18.284974933627346
