Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Bujumbura,-3.3833,29.3667,86.33133243942439,37.77782566950526
01002U,Bujumbura,-3.3833,29.3667,95.10674467521874,74.74860867876093
01003U,Bujumbura,-3.3833,29.3667,278.8843698272695,31.693806616680686
02003U,Bujumbura,-3.3833,29.3667,170.63280416995482,10.348098240158627
03001U,Bujumbura,-3.3833,29.3667,186.57361985915492,32.77074127301862
03001U,Bujumbura,-3.3833,29.3667,186.45011334935094,16.472391337721024
03002U,Bujumbura,-3.3833,29.3667,269.9501545980975,74.62766263380615
03003U,Bujumbura,-3.3833,29.3667,261.21666280948716,54.29049144612493
04002U,Bujumbura,-3.3833,29.3667,131.55190484525372,15.308529231547096
04003U,Bujumbura,-3.3833,29.3667,124.98718358892857,13.697325370202973
05001U,Bujumbura,-3.3833,29.3667,204.83845686367343,56.105675844993655
05002U,Bujumbura,-3.3833,29.3667,249.70857156866126,27.71315797244313
05002U,Bujumbura,-3.3833,29.3667,178.91934551220206,46.238905745233005
05003U,Bujumbura,-3.3833,29.3667,257.0419741336684,27.146882006179336
05003U,Bujumbura,-3.3833,29.3667,146.91805432865166,41.82131255003646
06001U,Bujumbura,-3.3833,29.3667,280.67994092956695,79.68488415345622
07002U,Bujumbura,-3.3833,29.3667,276.6798872860464,33.482591103494
07002U,Bujumbura,-3.3833,29.3667,162.86053418621213,14.888999852068075
07003U,Bujumbura,-3.3833,29.3667,281.87121398706574,63.79974398149193
07003U,Bujumbura,-3.3833,29.3667,129.61674272053418,10.90294990898054
08001U,Bujumbura,-3.3833,29.3667,233.92382701422918,15.048876097260422
08001U,Bujumbura,-3.3833,29.3667,227.17562968480698,10.353336135675926
09001U,Bujumbura,-3.3833,29.3667,103.71342510935234,45.666002935088514
09002U,Bujumbura,-3.3833,29.3667,266.23368515813877,16.288628826422542
09003U,Bujumbura,-3.3833,29.3667,67.86410589881581,81.35559688229237
10001U,Bujumbura,-3.3833,29.3667,86.07146631373091,10.239593933158591
10002U,Bujumbura,-3.3833,29.3667,112.10577770788136,12.074548856810818
10002U,Bujumbura,-3.3833,29.3667,236.45701916214253,34.42943013328919
10003U,Bujumbura,-3.3833,29.3667,344.000141510161,75.51425372324024
