Satellite,City,Latitude,Longitude,Azimuth,Elevation
01002U,Cairo,30.0444,31.2358,195.63528140115858,11.466276505865304
02001U,Cairo,30.0444,31.2358,210.47782913027893,27.899653489735456
02002U,Cairo,30.0444,31.2358,112.05086170908602,65.30631068052962
02003U,Cairo,30.0444,31.2358,250.72764066256363,54.3037713360466
04001U,Cairo,30.0444,31.2358,220.31093509505789,30.3740095669005
04002U,Cairo,30.0444,31.2358,149.98265843505715,49.751575213952414
04003U,Cairo,30.0444,31.2358,153.55671744172614,46.03401691838324
05002U,Cairo,30.0444,31.2358,111.26750976512044,10.719649474330197
06001U,Cairo,30.0444,31.2358,264.0754926352128,28.64550532689987
06002U,Cairo,30.0444,31.2358,241.00424341722106,46.81866256345992
06002U,Cairo,30.0444,31.2358,153.13882489117378,19.20087885806511
06003U,Cairo,30.0444,31.2358,234.26117950961742,55.87183016343726
06003U,Cairo,30.0444,31.2358,131.9551085563739,14.526251971345214
07001U,Cairo,30.0444,31.2358,104.14431437265327,20.699410493437046
08001U,Cairo,30.0444,31.2358,120.14489759606649,18.195865010225436
08002U,Cairo,30.0444,31.2358,260.37512478371906,38.83558462120779
08003U,Cairo,30.0444,31.2358,111.4633125986471,66.92640647206025
09002U,Cairo,30.0444,31.2358,176.97655573230935,20.298290329266724
10001U,Cairo,30.0444,31.2358,263.88781092583014,18.38101010242491
10002U,Cairo,30.0444,31.2358,242.4431593067457,10.798620727756239
10003U,Cairo,30.0444,31.2358,229.71141319317536,13.41571390161168
