Satellite,City,Latitude,Longitude,Azimuth,Elevation
01002U,Cape Town,-33.9253,18.4239,259.78151910933093,14.59512669756407
01002U,Cape Town,-33.9253,18.4239,185.6906534373647,10.166132178607171
01003U,Cape Town,-33.9253,18.4239,215.13381033495807,15.777830168236097
02001U,Cape Town,-33.9253,18.4239,12.5912392248545,25.095095931685297
02001U,Cape Town,-33.9253,18.4239,187.03771038638112,16.18607390633907
02002U,Cape Town,-33.9253,18.4239,330.00038550209723,17.108967115533563
02003U,Cape Town,-33.9253,18.4239,314.9945976665552,10.925960418958102
03002U,Cape Town,-33.9253,18.4239,158.40159953296268,48.34500967336656
03003U,Cape Town,-33.9253,18.4239,150.44806657590246,59.5469691307548
04001U,Cape Town,-33.9253,18.4239,32.91227899581509,71.81273140459533
04002U,Cape Town,-33.9253,18.4239,283.1975882211356,10.352815093764072
04002U,Cape Town,-33.9253,18.4239,321.54531655081354,22.4659812892924
04003U,Cape Town,-33.9253,18.4239,324.88040901844295,24.637970409045433
05001U,Cape Town,-33.9253,18.4239,22.836941188970684,20.091106211479488
06001U,Cape Town,-33.9253,18.4239,167.29032773034228,22.31953622878214
06002U,Cape Town,-33.9253,18.4239,307.0324670826526,10.332850546223833
06002U,Cape Town,-33.9253,18.4239,289.68665589968685,51.34801827250887
06003U,Cape Town,-33.9253,18.4239,312.51725861553103,13.664232227233496
06003U,Cape Town,-33.9253,18.4239,35.24454147315835,56.56778510627727
07001U,Cape Town,-33.9253,18.4239,345.83847029147717,23.259689247517024
07001U,Cape Town,-33.9253,18.4239,207.66466311730355,10.754268001785226
07002U,Cape Town,-33.9253,18.4239,216.83185132704423,10.795304031925237
07003U,Cape Town,-33.9253,18.4239,193.57817532498635,12.52095524407528
08003U,Cape Town,-33.9253,18.4239,334.7969516863127,17.957501784016888
09002U,Cape Town,-33.9253,18.4239,53.3468494314212,12.936407151455843
09002U,Cape Town,-33.9253,18.4239,270.5304235109505,27.570546277704132
09003U,Cape Town,-33.9253,18.4239,136.26691244869883,31.303336226776587
10001U,Cape Town,-33.9253,18.4239,338.81405192544423,18.324118430140622
10003U,Cape Town,-33.9253,18.4239,101.99278263361717,41.81069812474314
