Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Conakry,9.5092,-13.7122,56.237442247798604,29.781487175052646
01002U,Conakry,9.5092,-13.7122,248.01010446385098,10.662710123924297
01002U,Conakry,9.5092,-13.7122,199.87804905985823,15.075488172763487
01003U,Conakry,9.5092,-13.7122,226.4088262811894,10.325688837296681
02001U,Conakry,9.5092,-13.7122,180.18478852431844,15.557343802469962
02003U,Conakry,9.5092,-13.7122,149.3972540496964,13.30826289477061
03001U,Conakry,9.5092,-13.7122,107.47124309607736,42.14499796272879
03001U,Conakry,9.5092,-13.7122,158.05371671896248,27.54481652059421
03002U,Conakry,9.5092,-13.7122,118.32482957916115,32.21136222405329
03003U,Conakry,9.5092,-13.7122,94.95534103932191,65.0851212950456
04002U,Conakry,9.5092,-13.7122,302.5657620620383,12.57808654943289
04003U,Conakry,9.5092,-13.7122,297.26299331025615,13.896391348116868
05001U,Conakry,9.5092,-13.7122,37.58473088877325,14.306285124028115
05001U,Conakry,9.5092,-13.7122,173.0529992046783,13.45245322961537
05002U,Conakry,9.5092,-13.7122,65.83402011765352,14.352390892136402
05003U,Conakry,9.5092,-13.7122,60.917976865622826,12.951252748148246
06002U,Conakry,9.5092,-13.7122,257.9753556810579,39.054811119231694
06003U,Conakry,9.5092,-13.7122,255.25757022022685,68.45377518205373
07001U,Conakry,9.5092,-13.7122,197.90016481829176,13.275466055995885
07001U,Conakry,9.5092,-13.7122,306.3559668131285,16.935345186373457
07003U,Conakry,9.5092,-13.7122,208.24935674906473,14.098034644978487
08001U,Conakry,9.5092,-13.7122,114.098518117367,10.886061146268034
08001U,Conakry,9.5092,-13.7122,110.91797481168454,14.908047014942708
08002U,Conakry,9.5092,-13.7122,202.14242532565586,23.391125632597245
08003U,Conakry,9.5092,-13.7122,137.53909654345358,25.73041132409695
09002U,Conakry,9.5092,-13.7122,39.339913503579496,22.093991637663066
09002U,Conakry,9.5092,-13.7122,258.5619067535813,10.154054331458921
09003U,Conakry,9.5092,-13.7122,191.93386476386706,32.871973653303186
10001U,Conakry,9.5092,-13.7122,3.298555114512726,11.30229016657559
10002U,Conakry,9.5092,-13.7122,73.32591164665003,11.559001450810252
