Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Cotonou,6.3667,2.4333,136.01165221055226,14.037038467198554
01001U,Cotonou,6.3667,2.4333,256.52747327793696,27.17501781970971
01003U,Cotonou,6.3667,2.4333,60.18362196004053,25.57545961065362
02002U,Cotonou,6.3667,2.4333,330.1318537037712,40.22704978856843
02003U,Cotonou,6.3667,2.4333,324.1942415168622,22.520867754929423
03003U,Cotonou,6.3667,2.4333,159.86021981429295,11.876299621667899
04002U,Cotonou,6.3667,2.4333,239.81240600123857,20.52803143632027
04002U,Cotonou,6.3667,2.4333,5.789789200573413,11.546388466393417
04003U,Cotonou,6.3667,2.4333,233.27980014654003,17.989547762053224
04003U,Cotonou,6.3667,2.4333,11.691831800415045,10.278844101033737
05001U,Cotonou,6.3667,2.4333,111.40559859101155,17.5523727056911
05001U,Cotonou,6.3667,2.4333,310.4332388948012,21.94907094737234
06002U,Cotonou,6.3667,2.4333,256.7436270254065,11.860559682600346
06002U,Cotonou,6.3667,2.4333,193.45302455232618,11.426159302177869
06003U,Cotonou,6.3667,2.4333,253.6656552773293,17.687062968639527
06003U,Cotonou,6.3667,2.4333,177.65754111446623,13.152454238159574
07001U,Cotonou,6.3667,2.4333,47.81157283955464,11.344104414311825
07001U,Cotonou,6.3667,2.4333,225.83062331995586,23.272779976703383
07002U,Cotonou,6.3667,2.4333,337.4927683554685,19.5625364230036
07003U,Cotonou,6.3667,2.4333,15.209413983500951,13.966859167258775
08002U,Cotonou,6.3667,2.4333,307.90338730669606,15.505253534391061
08003U,Cotonou,6.3667,2.4333,342.5607571138592,46.56119564909314
09001U,Cotonou,6.3667,2.4333,1.8602411272017092,59.3272095233307
09002U,Cotonou,6.3667,2.4333,120.82157259539751,21.057622803268416
10001U,Cotonou,6.3667,2.4333,92.44045537878354,52.117560226263834
