Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Dakar,14.6928,-17.4467,14.805124769288284,29.331735711552152
01002U,Dakar,14.6928,-17.4467,221.1250087224107,16.35928744075928
02001U,Dakar,14.6928,-17.4467,203.91231016692714,21.47846685373798
02002U,Dakar,14.6928,-17.4467,124.00468873133622,17.727412392346526
02003U,Dakar,14.6928,-17.4467,159.62667937631883,25.130447327464548
03001U,Dakar,14.6928,-17.4467,13.475823218775504,68.83547114116638
03001U,Dakar,14.6928,-17.4467,192.79752348640622,46.240006586234955
03002U,Dakar,14.6928,-17.4467,96.86842325328914,65.28548190962961
03003U,Dakar,14.6928,-17.4467,327.7957513636002,55.9549699439352
04002U,Dakar,14.6928,-17.4467,136.0777113907555,11.6991347177109
04003U,Dakar,14.6928,-17.4467,143.08748403238204,14.106507375216209
05001U,Dakar,14.6928,-17.4467,13.042783288410229,12.066422637191865
05001U,Dakar,14.6928,-17.4467,192.84088779391791,20.691098250386432
05002U,Dakar,14.6928,-17.4467,41.522692787259,17.968395866422266
05003U,Dakar,14.6928,-17.4467,37.954786460655924,15.442688970358782
06002U,Dakar,14.6928,-17.4467,132.42785046346438,11.052581209402392
06002U,Dakar,14.6928,-17.4467,278.98517696200236,22.533019439640533
06003U,Dakar,14.6928,-17.4467,291.82420626736064,35.71875068858671
07001U,Dakar,14.6928,-17.4467,219.64881402684293,14.870124120310532
07003U,Dakar,14.6928,-17.4467,228.06929839405933,13.816851271995802
08001U,Dakar,14.6928,-17.4467,105.20671845692947,23.290045398199492
08001U,Dakar,14.6928,-17.4467,98.55888640594745,29.545673598632238
08002U,Dakar,14.6928,-17.4467,112.24438537428388,15.746144767375336
08002U,Dakar,14.6928,-17.4467,230.31474145668747,23.51604314010649
08003U,Dakar,14.6928,-17.4467,148.71990706522033,50.64299987389915
09002U,Dakar,14.6928,-17.4467,10.977623588753938,19.12828872814346
09003U,Dakar,14.6928,-17.4467,232.984563958382,34.71311313763424
10001U,Dakar,14.6928,-17.4467,66.63865396968689,12.686198828130783
10001U,Dakar,14.6928,-17.4467,221.61954596366553,10.517166020468531
10002U,Dakar,14.6928,-17.4467,52.17168909035719,16.473902304043445
10003U,Dakar,14.6928,-17.4467,132.65358470824282,16.972656741537357
