Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Dar es Salaam,-6.8161,39.2803,133.62667072831,16.708995865687886
01002U,Dar es Salaam,-6.8161,39.2803,155.1433743138067,23.70932857700251
01003U,Dar es Salaam,-6.8161,39.2803,211.60747272212143,25.51757817037476
03002U,Dar es Salaam,-6.8161,39.2803,171.99412700162296,26.772354770990926
03003U,Dar es Salaam,-6.8161,39.2803,185.56512069607348,24.604112943400835
05001U,Dar es Salaam,-6.8161,39.2803,172.92527410962956,16.33481571077744
05002U,Dar es Salaam,-6.8161,39.2803,203.9011023247652,15.207201744588886
05002U,Dar es Salaam,-6.8161,39.2803,167.8925212816968,13.968320598038204
05003U,Dar es Salaam,-6.8161,39.2803,207.95443976578287,16.755063628356606
05003U,Dar es Salaam,-6.8161,39.2803,156.14685020862257,12.513166741627016
06001U,Dar es Salaam,-6.8161,39.2803,168.15950005123884,24.915283140340946
07002U,Dar es Salaam,-6.8161,39.2803,208.57104887160548,25.229116175855136
07003U,Dar es Salaam,-6.8161,39.2803,178.6150610205671,28.357382427865783
09001U,Dar es Salaam,-6.8161,39.2803,143.7448618189565,15.821426507407956
09002U,Dar es Salaam,-6.8161,39.2803,225.52307232135246,13.42358544533581
09003U,Dar es Salaam,-6.8161,39.2803,158.0646650823654,25.613702036269157
10002U,Dar es Salaam,-6.8161,39.2803,193.2079716229586,15.142387253640342
10003U,Dar es Salaam,-6.8161,39.2803,163.10572051391173,23.71571047128929
