Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Douala,4.05,9.7,214.90951720452566,20.451355201529665
01003U,Douala,4.05,9.7,98.96961578611042,22.792449844963578
02002U,Douala,4.05,9.7,264.6541139623086,15.1822514399412
02002U,Douala,4.05,9.7,210.67844608685326,72.44695308343749
02003U,Douala,4.05,9.7,295.421371853601,49.20033527973008
03001U,Douala,4.05,9.7,326.47788642298354,15.171106295225105
03001U,Douala,4.05,9.7,308.1882681681595,21.34249837710759
04002U,Douala,4.05,9.7,213.22424596232437,13.752979732454028
04002U,Douala,4.05,9.7,22.292892977530933,25.74761930134131
04003U,Douala,4.05,9.7,209.98911406700697,10.904632196143606
04003U,Douala,4.05,9.7,29.625871043243187,22.097245998929584
05001U,Douala,4.05,9.7,271.56686343704433,40.034577843173814
05002U,Douala,4.05,9.7,334.5254988759945,13.821900568661867
05003U,Douala,4.05,9.7,346.499883692402,15.21125028190328
06002U,Douala,4.05,9.7,232.38038908467715,10.211600348413812
06003U,Douala,4.05,9.7,225.06805060875308,14.287657257632342
07001U,Douala,4.05,9.7,75.54987071701177,13.876547744124903
07001U,Douala,4.05,9.7,200.8017931482186,12.80317748807789
07002U,Douala,4.05,9.7,330.5852060800431,46.44097094344736
07003U,Douala,4.05,9.7,38.6147584210026,26.834520018344012
08002U,Douala,4.05,9.7,280.900032659329,28.639472265765814
08003U,Douala,4.05,9.7,262.32990708649703,13.063185684154245
08003U,Douala,4.05,9.7,161.82776066701913,69.8869278988459
09001U,Douala,4.05,9.7,148.21372844226318,50.269695339979336
10001U,Douala,4.05,9.7,139.08727741034136,24.972976421559554
10002U,Douala,4.05,9.7,34.90333607430664,14.808077587731352
