Satellite,City,Latitude,Longitude,Azimuth,Elevation
01003U,Durban,-29.8833,31.05,88.51220581460007,15.488104921678367
02001U,Durban,-29.8833,31.05,206.16265653509598,59.494972700854845
02002U,Durban,-29.8833,31.05,268.4085785141795,25.610285319691886
02003U,Durban,-29.8833,31.05,270.89677811637375,13.689323919022739
03002U,Durban,-29.8833,31.05,187.03410418365104,10.65368032519777
03003U,Durban,-29.8833,31.05,188.26146546373695,13.546639114171006
04001U,Durban,-29.8833,31.05,194.38406548651434,21.694405085857323
04002U,Durban,-29.8833,31.05,253.83846508128275,23.484074466951334
04003U,Durban,-29.8833,31.05,249.97165985513791,25.583404735720617
05001U,Durban,-29.8833,31.05,155.55132827235553,67.40243382281304
05002U,Durban,-29.8833,31.05,106.09654690260301,13.605478526253178
05003U,Durban,-29.8833,31.05,103.22568557443235,15.523610021888954
06002U,Durban,-29.8833,31.05,265.98706909721847,10.41892617950796
06002U,Durban,-29.8833,31.05,217.46800520468122,18.251565863182858
06003U,Durban,-29.8833,31.05,264.3212672898145,14.642163979703836
06003U,Durban,-29.8833,31.05,189.42037168307206,28.079453135952587
07001U,Durban,-29.8833,31.05,249.99234460539952,38.114446964004124
07002U,Durban,-29.8833,31.05,89.59574974729486,14.599231961269815
08001U,Durban,-29.8833,31.05,126.33492463349903,10.924062502836017
08003U,Durban,-29.8833,31.05,268.1551229844863,29.230877721512755
09002U,Durban,-29.8833,31.05,108.81555610206394,27.409522777054473
10001U,Durban,-29.8833,31.05,264.0471481999393,31.278539899472484
10003U,Durban,-29.8833,31.05,175.78458385202956,12.520988646752608
