Satellite,City,Latitude,Longitude,Azimuth,Elevation
01003U,Gaborone,-24.6581,25.9122,64.14696172302463,23.067096095370065
02001U,Gaborone,-24.6581,25.9122,291.78336120452684,38.47921873485243
02002U,Gaborone,-24.6581,25.9122,289.71015774216806,13.380723794308626
03002U,Gaborone,-24.6581,25.9122,74.31540322333703,10.55861122306447
03002U,Gaborone,-24.6581,25.9122,211.17724969608108,16.65454518904474
03003U,Gaborone,-24.6581,25.9122,75.76987494791373,14.518634328038713
03003U,Gaborone,-24.6581,25.9122,215.51512621511372,19.814126342108615
04001U,Gaborone,-24.6581,25.9122,233.62781787184593,26.73486951357766
04002U,Gaborone,-24.6581,25.9122,279.14341902162016,13.975328486523921
04003U,Gaborone,-24.6581,25.9122,278.02933179717195,15.716155676135818
05001U,Gaborone,-24.6581,25.9122,310.8323533747959,46.81759621639167
05002U,Gaborone,-24.6581,25.9122,88.88945798887478,25.71407010371509
05003U,Gaborone,-24.6581,25.9122,82.6916998899296,27.834381431713933
06002U,Gaborone,-24.6581,25.9122,248.06350347228894,17.048936187697617
06003U,Gaborone,-24.6581,25.9122,236.87788162250175,35.12033695434004
07001U,Gaborone,-24.6581,25.9122,286.7818398276773,21.514829709559468
07002U,Gaborone,-24.6581,25.9122,66.5117886627648,22.287710239361708
07003U,Gaborone,-24.6581,25.9122,71.88047305893546,11.92631812229867
08001U,Gaborone,-24.6581,25.9122,121.78816542432818,25.4146806549432
08001U,Gaborone,-24.6581,25.9122,133.87748565938827,19.716877337227835
08003U,Gaborone,-24.6581,25.9122,291.18161997055944,15.286898488660261
09002U,Gaborone,-24.6581,25.9122,70.56167606161796,49.1669318259522
09003U,Gaborone,-24.6581,25.9122,192.70535399417759,16.617517616340052
10001U,Gaborone,-24.6581,25.9122,290.6281573998293,16.246817725070567
10002U,Gaborone,-24.6581,25.9122,91.43044780299971,18.87662749851447
10003U,Gaborone,-24.6581,25.9122,205.25524581317327,22.539151437016756
