Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Goma,-1.6794,29.2336,84.74038741898798,45.77028375082156
01002U,Goma,-1.6794,29.2336,103.41183263624289,89.15252417299574
01003U,Goma,-1.6794,29.2336,279.0904766990096,26.62924509720133
02003U,Goma,-1.6794,29.2336,176.0913554588692,10.81552107321717
03001U,Goma,-1.6794,29.2336,198.00660098149567,32.03023950164974
03001U,Goma,-1.6794,29.2336,193.68841146848501,16.202975981859016
03002U,Goma,-1.6794,29.2336,273.0572242225993,61.86754229002059
03003U,Goma,-1.6794,29.2336,265.63408575174384,45.08633480072049
04002U,Goma,-1.6794,29.2336,136.1312791202085,17.649561126286578
04003U,Goma,-1.6794,29.2336,128.77607584429032,16.066461102310782
05001U,Goma,-1.6794,29.2336,224.82684996150945,50.53981316905567
05002U,Goma,-1.6794,29.2336,253.81436095867957,23.635739694768695
05002U,Goma,-1.6794,29.2336,195.28035654625532,45.94058719306592
05003U,Goma,-1.6794,29.2336,260.16650512526456,23.000830929621227
05003U,Goma,-1.6794,29.2336,160.29979089523786,46.086086568104975
06001U,Goma,-1.6794,29.2336,277.898994073313,65.26420270481528
07002U,Goma,-1.6794,29.2336,277.20017154879326,28.09713923346098
07002U,Goma,-1.6794,29.2336,168.91602305609786,15.811079441250104
07003U,Goma,-1.6794,29.2336,280.21489196072565,52.62818454305567
07003U,Goma,-1.6794,29.2336,133.3849652604233,12.85527771985797
08001U,Goma,-1.6794,29.2336,238.30054502862401,12.929427947515576
09001U,Goma,-1.6794,29.2336,108.33872192039857,55.913519096923935
09002U,Goma,-1.6794,29.2336,267.8486975878239,13.536158626842093
09003U,Goma,-1.6794,29.2336,304.65069439992067,81.98449927782158
10001U,Goma,-1.6794,29.2336,86.09334617027037,12.650957872655406
10002U,Goma,-1.6794,29.2336,114.56830826020574,14.523104302584912
10002U,Goma,-1.6794,29.2336,243.182173968876,29.7984784133754
10003U,Goma,-1.6794,29.2336,306.00202631627536,64.38206176394426
