Satellite,City,Latitude,Longitude,Azimuth,Elevation
01002U,Harare,-17.8292,31.0522,93.27350466397228,16.174853620858798
01003U,Harare,-17.8292,31.0522,98.7392701971988,53.450617871752925
02001U,Harare,-17.8292,31.0522,259.8324024823103,19.15072764076023
03001U,Harare,-17.8292,31.0522,124.99125652873326,13.152591577127989
03002U,Harare,-17.8292,31.0522,95.6180043620837,23.771316846108693
03003U,Harare,-17.8292,31.0522,103.08247122866783,30.20158394060914
05001U,Harare,-17.8292,31.0522,260.8518968857572,25.013463089918115
05001U,Harare,-17.8292,31.0522,110.27449698789725,18.346223502003596
05002U,Harare,-17.8292,31.0522,142.45012890706386,39.108243459639866
05002U,Harare,-17.8292,31.0522,115.44728425601582,15.638905208263738
05003U,Harare,-17.8292,31.0522,141.38624847967696,45.73871326298737
05003U,Harare,-17.8292,31.0522,108.84947768511928,10.596510363063517
06001U,Harare,-17.8292,31.0522,94.01467638907828,20.246541705268065
06003U,Harare,-17.8292,31.0522,235.66777764640904,13.944847220134543
07001U,Harare,-17.8292,31.0522,266.5226636336267,10.5306936658216
07002U,Harare,-17.8292,31.0522,101.74451784669026,50.13078658189234
07003U,Harare,-17.8292,31.0522,93.78963515925037,26.950109303170983
08001U,Harare,-17.8292,31.0522,169.02963777582445,22.92444435687455
08001U,Harare,-17.8292,31.0522,172.21651034311208,15.454513584372755
09002U,Harare,-17.8292,31.0522,201.8933161661199,56.25317482648999
09003U,Harare,-17.8292,31.0522,91.87117643964336,17.75732369004034
10002U,Harare,-17.8292,31.0522,131.52455028009604,29.81793922108714
10003U,Harare,-17.8292,31.0522,88.8329064505946,15.891777636451218
