Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Kampala,0.3136,32.5811,131.23862354015617,49.92424373535488
01002U,Kampala,0.3136,32.5811,206.39443504109218,56.75976694247454
01003U,Kampala,0.3136,32.5811,262.3773333481824,21.893400385956383
03001U,Kampala,0.3136,32.5811,201.75189201180706,20.544579316247617
03002U,Kampala,0.3136,32.5811,237.38561988682775,44.29928880066944
03003U,Kampala,0.3136,32.5811,243.5040250271,32.900929404291546
04002U,Kampala,0.3136,32.5811,150.43304159466211,14.371121857585205
04003U,Kampala,0.3136,32.5811,143.18883496076126,13.780381092831217
05001U,Kampala,0.3136,32.5811,217.37975938032972,31.262134827550874
05002U,Kampala,0.3136,32.5811,243.4718819196232,16.946660237801517
05002U,Kampala,0.3136,32.5811,200.87695533101862,29.62873895110241
05003U,Kampala,0.3136,32.5811,248.71896384937594,17.016960330918266
05003U,Kampala,0.3136,32.5811,179.98540797364498,31.940575797625986
06001U,Kampala,0.3136,32.5811,235.00037854800286,45.50689695093303
07002U,Kampala,0.3136,32.5811,260.1374127369661,22.77546190704339
07002U,Kampala,0.3136,32.5811,177.08904339028584,10.51301054773965
07003U,Kampala,0.3136,32.5811,247.45266770264794,40.09618239638053
07003U,Kampala,0.3136,32.5811,145.81831281762913,10.528849511079356
09001U,Kampala,0.3136,32.5811,160.37819396195243,47.171077797199565
09002U,Kampala,0.3136,32.5811,258.54794079249587,10.120821799351162
09003U,Kampala,0.3136,32.5811,220.17241707212304,56.66167763652791
10001U,Kampala,0.3136,32.5811,100.33677157313616,15.482398766834683
10002U,Kampala,0.3136,32.5811,129.13732819104263,13.960590808915924
10002U,Kampala,0.3136,32.5811,233.73426229296646,20.491112474968467
10003U,Kampala,0.3136,32.5811,240.69067062890645,48.41326747392768
