Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Khartoum,15.5006,32.56,255.98159516973848,24.29782663598665
01002U,Khartoum,15.5006,32.56,261.70335628753725,14.5276706880041
02001U,Khartoum,15.5006,32.56,135.65040028287714,18.670745909615835
02002U,Khartoum,15.5006,32.56,94.35816137472632,14.645840329470891
02003U,Khartoum,15.5006,32.56,104.90129146317265,29.419483836308153
04001U,Khartoum,15.5006,32.56,132.65181479288745,21.77044602043863
04002U,Khartoum,15.5006,32.56,105.82919131837158,13.269233338840088
04002U,Khartoum,15.5006,32.56,208.15862097386193,14.734573035295977
04003U,Khartoum,15.5006,32.56,107.9626314121652,12.585954351435388
04003U,Khartoum,15.5006,32.56,202.07982565285323,17.32824740921929
05003U,Khartoum,15.5006,32.56,241.59866998673868,13.391649134124927
06001U,Khartoum,15.5006,32.56,122.76163793895616,48.19616398626849
06002U,Khartoum,15.5006,32.56,113.72460425252953,29.704663643308546
06003U,Khartoum,15.5006,32.56,108.06067968790943,26.017034620426607
07003U,Khartoum,15.5006,32.56,197.63032502374557,13.843745060653786
08002U,Khartoum,15.5006,32.56,112.76604796393411,40.39485828257792
08003U,Khartoum,15.5006,32.56,94.11299467688848,14.809105363043233
09001U,Khartoum,15.5006,32.56,252.28929751366184,18.03921477236052
09003U,Khartoum,15.5006,32.56,264.2390910991209,13.355623790006282
10001U,Khartoum,15.5006,32.56,174.45449850565825,57.21104088533011
10002U,Khartoum,15.5006,32.56,190.97793931026027,25.0063460447149
10003U,Khartoum,15.5006,32.56,161.68120067063674,18.64074641016818
