Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Kigali,-1.9536,30.0606,93.6742164616132,44.40913215857463
01002U,Kigali,-1.9536,30.0606,159.03693647786346,81.15258786961891
01003U,Kigali,-1.9536,30.0606,274.3544103522236,27.681866526344344
03001U,Kigali,-1.9536,30.0606,194.75611392341338,29.34816011631395
03001U,Kigali,-1.9536,30.0606,191.82896479587922,14.700647552999524
03002U,Kigali,-1.9536,30.0606,256.90451868743315,63.20055548547711
03003U,Kigali,-1.9536,30.0606,256.6452531890467,45.706710745636016
04002U,Kigali,-1.9536,30.0606,137.57941674361385,16.084369631871848
04003U,Kigali,-1.9536,30.0606,130.4887168822112,14.710035063641362
05001U,Kigali,-1.9536,30.0606,215.6158653348432,47.335370207201635
05002U,Kigali,-1.9536,30.0606,249.24809462468676,23.539579073011954
05002U,Kigali,-1.9536,30.0606,191.08311058063646,41.93465346506859
05003U,Kigali,-1.9536,30.0606,255.69667851965878,23.16324158849484
05003U,Kigali,-1.9536,30.0606,160.6579274367956,41.45360649023801
06001U,Kigali,-1.9536,30.0606,257.5498010758512,67.15984030236135
07002U,Kigali,-1.9536,30.0606,272.1729445474025,29.115375012957823
07002U,Kigali,-1.9536,30.0606,168.51463429317553,14.228980793038854
07003U,Kigali,-1.9536,30.0606,268.99590809982936,54.74569958737641
07003U,Kigali,-1.9536,30.0606,134.6819547598045,11.624677546170382
08001U,Kigali,-1.9536,30.0606,235.22021838238538,12.493248123546293
09001U,Kigali,-1.9536,30.0606,118.16436623654135,51.81404909812168
09002U,Kigali,-1.9536,30.0606,264.7206878541715,13.861917985380135
09003U,Kigali,-1.9536,30.0606,229.84219298171314,84.43226165145721
10001U,Kigali,-1.9536,30.0606,88.97687893196132,12.30273576847113
10002U,Kigali,-1.9536,30.0606,116.72436082245262,13.502464428200048
10002U,Kigali,-1.9536,30.0606,237.79965397808127,29.11261281634294
10003U,Kigali,-1.9536,30.0606,287.1010901764733,70.65244006642911
