Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Kinshasa,-4.325,15.3222,27.41756627371039,11.249881582196709
01001U,Kinshasa,-4.325,15.3222,172.62910908084217,12.687208323623306
01002U,Kinshasa,-4.325,15.3222,9.905319859928285,16.362244418130725
01003U,Kinshasa,-4.325,15.3222,333.323825975667,11.212241792620722
02002U,Kinshasa,-4.325,15.3222,224.0324023166308,27.718138578986213
02002U,Kinshasa,-4.325,15.3222,133.82175122145244,25.98772155574571
02003U,Kinshasa,-4.325,15.3222,226.36245105401736,11.910370572786482
02003U,Kinshasa,-4.325,15.3222,132.78943099761025,47.955460001534504
03001U,Kinshasa,-4.325,15.3222,359.79502843069093,40.58833559585434
03001U,Kinshasa,-4.325,15.3222,332.23276548301357,77.49115172017471
03002U,Kinshasa,-4.325,15.3222,356.7324570474074,16.76816872259653
03003U,Kinshasa,-4.325,15.3222,346.314748100327,17.152028726249018
04002U,Kinshasa,-4.325,15.3222,70.4299049579549,19.745905917224288
04003U,Kinshasa,-4.325,15.3222,70.15757335127833,15.749175351312955
05001U,Kinshasa,-4.325,15.3222,160.98492633128814,43.09445571036373
05001U,Kinshasa,-4.325,15.3222,356.6369158443484,21.90397300723914
05002U,Kinshasa,-4.325,15.3222,322.1491952472717,17.883852578800354
05002U,Kinshasa,-4.325,15.3222,6.496839437620501,32.031402261550525
05003U,Kinshasa,-4.325,15.3222,323.0325238728984,15.461999582351607
05003U,Kinshasa,-4.325,15.3222,25.829709082529803,27.397952321283242
06001U,Kinshasa,-4.325,15.3222,359.39084567984634,14.701093727642284
06001U,Kinshasa,-4.325,15.3222,204.14859460528393,10.854122289321817
06002U,Kinshasa,-4.325,15.3222,199.32016567798362,10.611551595396882
06003U,Kinshasa,-4.325,15.3222,189.07056935637985,12.031688358466344
07002U,Kinshasa,-4.325,15.3222,334.0718803185032,12.057723523487462
07002U,Kinshasa,-4.325,15.3222,97.47507907938184,47.06382593620445
07003U,Kinshasa,-4.325,15.3222,352.33023054129893,15.080232190696709
07003U,Kinshasa,-4.325,15.3222,79.29953242554923,16.014832932879322
08001U,Kinshasa,-4.325,15.3222,296.6505813198249,20.174415839313475
08001U,Kinshasa,-4.325,15.3222,283.08183065072916,20.28903713838185
08002U,Kinshasa,-4.325,15.3222,194.17604510315178,54.55928482334519
08003U,Kinshasa,-4.325,15.3222,224.24475257980282,23.872369325132816
08003U,Kinshasa,-4.325,15.3222,129.77631812770255,22.286901315769345
09001U,Kinshasa,-4.325,15.3222,130.6876320274688,15.58972678060358
09001U,Kinshasa,-4.325,15.3222,24.176462753011954,14.627020321549763
09003U,Kinshasa,-4.325,15.3222,6.568978155791764,15.54521859624281
10002U,Kinshasa,-4.325,15.3222,65.61743392973835,10.100981101606253
10002U,Kinshasa,-4.325,15.3222,329.79643287263434,23.07381142055231
10003U,Kinshasa,-4.325,15.3222,1.833536908440419,10.17501742295484
