Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Lagos,6.455,3.3841,138.54517141968648,12.917661426628273
01001U,Lagos,6.455,3.3841,251.0828244690065,26.03366648230342
01003U,Lagos,6.455,3.3841,64.54461461764362,27.11704400640437
02002U,Lagos,6.455,3.3841,285.05509278514535,10.256922185414084
02002U,Lagos,6.455,3.3841,324.7053809221888,44.11587437391767
02003U,Lagos,6.455,3.3841,320.93494667329645,24.400511932273872
03003U,Lagos,6.455,3.3841,161.1074477253166,10.530740904074646
04002U,Lagos,6.455,3.3841,236.60570362227276,19.240929295800576
04002U,Lagos,6.455,3.3841,5.821170330624331,13.137631942121436
04003U,Lagos,6.455,3.3841,230.57362491289373,16.66273105844436
04003U,Lagos,6.455,3.3841,12.046834273429223,11.766887611261179
05001U,Lagos,6.455,3.3841,115.37873141277161,16.91534088505112
05001U,Lagos,6.455,3.3841,306.3990040534443,23.328997234207364
06002U,Lagos,6.455,3.3841,253.84666247061554,11.338542626494256
06003U,Lagos,6.455,3.3841,250.19743236354648,16.914829161614964
06003U,Lagos,6.455,3.3841,178.06195030692996,11.61050981305837
07001U,Lagos,6.455,3.3841,50.186948676637286,12.507407375052667
07001U,Lagos,6.455,3.3841,222.8765157397788,21.355200980611578
07002U,Lagos,6.455,3.3841,335.45529779289944,21.51390790214042
07003U,Lagos,6.455,3.3841,15.83684967245454,15.702723156196495
08002U,Lagos,6.455,3.3841,304.73018003028045,16.46549949744416
08003U,Lagos,6.455,3.3841,337.9492636742415,51.818977365319
09001U,Lagos,6.455,3.3841,0.48038722183189964,67.18779838861815
09002U,Lagos,6.455,3.3841,124.51269089049482,20.045881703126863
10001U,Lagos,6.455,3.3841,105.75908305521457,51.665496416524995
