Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Libreville,0.3903,9.4542,197.21079382364252,25.56903441584231
01003U,Libreville,0.3903,9.4542,95.44497682767104,15.039518922349536
02002U,Libreville,0.3903,9.4542,263.5086922959938,23.063558687297405
02002U,Libreville,0.3903,9.4542,116.44385070841155,62.63152958548206
02003U,Libreville,0.3903,9.4542,250.90779493286843,10.486641133927643
02003U,Libreville,0.3903,9.4542,339.7226279657638,67.03776000163977
03001U,Libreville,0.3903,9.4542,339.7321822247546,18.102920674250903
03001U,Libreville,0.3903,9.4542,323.6953128409807,28.528716623720207
04002U,Libreville,0.3903,9.4542,201.37784841354977,17.258924902486978
04002U,Libreville,0.3903,9.4542,36.95774281184074,20.37264919384931
04003U,Libreville,0.3903,9.4542,198.97361206329865,13.726356129997718
04003U,Libreville,0.3903,9.4542,41.41786458126284,16.828375196624588
05001U,Libreville,0.3903,9.4542,277.6036042434166,63.652775309935706
05002U,Libreville,0.3903,9.4542,346.7389418161647,15.607687948357622
05003U,Libreville,0.3903,9.4542,359.73004634839833,15.575326280881784
06001U,Libreville,0.3903,9.4542,231.85363922019286,13.994717248699375
06002U,Libreville,0.3903,9.4542,224.2966792100271,14.997869051124612
06003U,Libreville,0.3903,9.4542,214.2231338245962,19.277040209028293
07001U,Libreville,0.3903,9.4542,187.6593556457893,14.824857744734599
07002U,Libreville,0.3903,9.4542,9.255036175457827,48.843845067212385
07003U,Libreville,0.3903,9.4542,50.004622922525265,19.655280726453324
08002U,Libreville,0.3903,9.4542,288.9717852102432,43.12001544947371
08003U,Libreville,0.3903,9.4542,260.5725644346828,20.23080668356567
08003U,Libreville,0.3903,9.4542,112.60649193976472,51.10903296063517
09001U,Libreville,0.3903,9.4542,120.81536707631662,36.77802044016074
10001U,Libreville,0.3903,9.4542,125.07020322517998,18.312167690423763
10002U,Libreville,0.3903,9.4542,43.312769442471115,10.642877307177779
