Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Luanda,-8.8383,13.2344,153.1679224884647,13.970024161845576
01002U,Luanda,-8.8383,13.2344,21.813804006442897,10.704459519298595
01003U,Luanda,-8.8383,13.2344,347.833219431779,10.410134570462938
02002U,Luanda,-8.8383,13.2344,205.64956496788196,45.17738802447965
02002U,Luanda,-8.8383,13.2344,112.31146379321834,19.294028170541576
02003U,Luanda,-8.8383,13.2344,218.30860020742955,20.621815853475965
02003U,Luanda,-8.8383,13.2344,99.05438609323726,32.74633785992686
03001U,Luanda,-8.8383,13.2344,26.869508112453612,27.662868917156693
03001U,Luanda,-8.8383,13.2344,50.296502883798105,45.9486617188383
03002U,Luanda,-8.8383,13.2344,11.221740241964003,12.362230201556155
03003U,Luanda,-8.8383,13.2344,2.833284639505773,13.923390968320765
04002U,Luanda,-8.8383,13.2344,166.83298190656254,11.512987087126058
04002U,Luanda,-8.8383,13.2344,67.87873453434008,10.645257413949434
05001U,Luanda,-8.8383,13.2344,117.71075207887417,36.34956871735042
05001U,Luanda,-8.8383,13.2344,14.995663205385098,15.959176548947474
05002U,Luanda,-8.8383,13.2344,341.8037248781276,18.36715682685015
05002U,Luanda,-8.8383,13.2344,25.690060682414806,22.06623098416458
05003U,Luanda,-8.8383,13.2344,340.83270899479,15.899738032352435
05003U,Luanda,-8.8383,13.2344,37.37171673490295,17.0220497046717
06001U,Luanda,-8.8383,13.2344,13.243846026620545,10.280264776943003
06001U,Luanda,-8.8383,13.2344,189.14430879275895,16.871636877383608
06002U,Luanda,-8.8383,13.2344,184.95155017726947,15.704278922935371
06003U,Luanda,-8.8383,13.2344,172.62866587606953,15.854002185939818
07002U,Luanda,-8.8383,13.2344,349.02014567299267,11.095373273373525
07002U,Luanda,-8.8383,13.2344,81.23251108057504,28.08414908641123
07003U,Luanda,-8.8383,13.2344,6.89067042795038,11.469602826606236
08001U,Luanda,-8.8383,13.2344,318.37513960613734,26.3760725198467
08001U,Luanda,-8.8383,13.2344,303.2849510485259,30.33753511559429
08002U,Luanda,-8.8383,13.2344,232.60916011827294,17.496775638669245
08002U,Luanda,-8.8383,13.2344,118.38191274746838,55.804919415069485
08003U,Luanda,-8.8383,13.2344,208.65401158797962,39.22795224381556
08003U,Luanda,-8.8383,13.2344,111.33309224176801,16.168703738409842
09001U,Luanda,-8.8383,13.2344,114.72936444993086,11.06402175715975
09002U,Luanda,-8.8383,13.2344,326.6160685508321,10.940284489193633
09003U,Luanda,-8.8383,13.2344,18.858751089869042,10.369760125710895
10002U,Luanda,-8.8383,13.2344,352.68388419754467,21.58314978058658
