Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Lubumbashi,-11.6647,27.4794,77.72224027141371,15.064787373421034
01002U,Lubumbashi,-11.6647,27.4794,76.62089124091419,29.513067325150406
01003U,Lubumbashi,-11.6647,27.4794,337.41049974973333,61.74156530376775
03001U,Lubumbashi,-11.6647,27.4794,130.17433333846802,28.866723924806525
03001U,Lubumbashi,-11.6647,27.4794,149.06160316948285,17.12013575034447
03002U,Lubumbashi,-11.6647,27.4794,70.25266204374094,43.11189885283702
03003U,Lubumbashi,-11.6647,27.4794,69.23705567785532,58.874303474639845
05001U,Lubumbashi,-11.6647,27.4794,279.8565458452391,12.557974424939752
05001U,Lubumbashi,-11.6647,27.4794,101.03566596192378,39.6011910345914
05002U,Lubumbashi,-11.6647,27.4794,219.94256152363806,67.85165450130243
05002U,Lubumbashi,-11.6647,27.4794,113.55930742327293,32.7198208719875
05003U,Lubumbashi,-11.6647,27.4794,251.4460044516714,68.76077076551792
05003U,Lubumbashi,-11.6647,27.4794,104.63107429294655,22.976305451646688
06001U,Lubumbashi,-11.6647,27.4794,70.23064021958717,37.31678555275495
07002U,Lubumbashi,-11.6647,27.4794,343.38128394575654,65.61872512489238
07002U,Lubumbashi,-11.6647,27.4794,134.36738051169132,11.098088008392882
07003U,Lubumbashi,-11.6647,27.4794,60.42496098563592,47.5219612978583
08001U,Lubumbashi,-11.6647,27.4794,208.07828575602701,32.30399502619096
08001U,Lubumbashi,-11.6647,27.4794,202.67420875595377,22.25488386710883
08002U,Lubumbashi,-11.6647,27.4794,158.46775324269464,11.132080654413757
09001U,Lubumbashi,-11.6647,27.4794,84.06816128948947,18.419779035800147
09002U,Lubumbashi,-11.6647,27.4794,271.62410782148527,38.442209635972176
09003U,Lubumbashi,-11.6647,27.4794,72.57841915753163,31.701474621619134
10002U,Lubumbashi,-11.6647,27.4794,157.08426721563944,64.06006422859008
10003U,Lubumbashi,-11.6647,27.4794,64.37310513839061,29.112846125412137
