Satellite,City,Latitude,Longitude,Azimuth,Elevation
01002U,Lusaka,-15.4167,28.2833,82.3162724717019,20.536446663345995
01003U,Lusaka,-15.4167,28.2833,45.097904900830954,63.08980257449785
02001U,Lusaka,-15.4167,28.2833,273.34191055847634,15.047243175695339
03001U,Lusaka,-15.4167,28.2833,121.4428184820199,19.809408047540956
03001U,Lusaka,-15.4167,28.2833,138.47082360167838,12.111341724367486
03002U,Lusaka,-15.4167,28.2833,80.75768937213886,30.033735230238126
03003U,Lusaka,-15.4167,28.2833,84.93782218709129,39.83920354096237
05001U,Lusaka,-15.4167,28.2833,276.8063149420627,19.456895449905595
05001U,Lusaka,-15.4167,28.2833,100.49795619112469,25.75174374335185
05002U,Lusaka,-15.4167,28.2833,143.97779652845892,60.719309054565535
05002U,Lusaka,-15.4167,28.2833,109.1890390762224,22.227247668677705
05003U,Lusaka,-15.4167,28.2833,141.24722532875484,71.28066520805248
05003U,Lusaka,-15.4167,28.2833,102.83113050001633,15.34019954366333
06001U,Lusaka,-15.4167,28.2833,79.88938091672722,25.680490034150335
06003U,Lusaka,-15.4167,28.2833,248.95650496166436,12.939253021181615
07002U,Lusaka,-15.4167,28.2833,55.48107505342057,62.02542203309272
07003U,Lusaka,-15.4167,28.2833,76.05378327796649,33.58729575547008
08001U,Lusaka,-15.4167,28.2833,181.58050258101198,32.609195396058794
08001U,Lusaka,-15.4167,28.2833,182.63863820864995,22.10373963889055
09001U,Lusaka,-15.4167,28.2833,86.6437973656447,12.055369686781177
09002U,Lusaka,-15.4167,28.2833,257.9620991840797,57.64792547570573
09003U,Lusaka,-15.4167,28.2833,79.8143500574361,22.228710230317926
10002U,Lusaka,-15.4167,28.2833,126.17445045119115,44.84285935837142
10003U,Lusaka,-15.4167,28.2833,74.73853058269219,19.927788633207502
