Satellite,City,Latitude,Longitude,Azimuth,Elevation
01003U,Maputo,-25.9667,32.5833,98.08870848916672,22.782464977320185
02001U,Maputo,-25.9667,32.5833,228.6508346781245,38.46285442326032
02002U,Maputo,-25.9667,32.5833,264.3086061622925,17.166398538339624
03003U,Maputo,-25.9667,32.5833,99.43489308430509,12.949530603743455
04001U,Maputo,-25.9667,32.5833,207.84335223508805,15.75401176222975
04002U,Maputo,-25.9667,32.5833,253.60093651866688,15.330497251246769
04003U,Maputo,-25.9667,32.5833,250.58111258854876,16.687732456832336
05001U,Maputo,-25.9667,32.5833,215.60495741288173,50.25372602372275
05002U,Maputo,-25.9667,32.5833,118.73526059464376,18.54538749092688
05003U,Maputo,-25.9667,32.5833,116.24112785091728,21.25501356971579
06002U,Maputo,-25.9667,32.5833,225.03508455176086,12.026169469771002
06003U,Maputo,-25.9667,32.5833,205.71495329643727,21.1089936654163
07001U,Maputo,-25.9667,32.5833,250.03022291193713,24.29305140052606
07002U,Maputo,-25.9667,32.5833,99.13500891675926,21.48281315584906
07003U,Maputo,-25.9667,32.5833,93.95413990600846,11.408096375163677
08001U,Maputo,-25.9667,32.5833,140.31381448794605,13.232085866983951
08003U,Maputo,-25.9667,32.5833,263.49986566385854,19.57259661134732
09002U,Maputo,-25.9667,32.5833,130.41631016159587,35.317028912782256
10001U,Maputo,-25.9667,32.5833,259.98407088043973,20.352547484039192
10002U,Maputo,-25.9667,32.5833,115.46224394347718,13.482404109796965
