Satellite,City,Latitude,Longitude,Azimuth,Elevation
01003U,Maseru,-29.31,27.48,74.88582181581098,15.450948528064712
02001U,Maseru,-29.31,27.48,290.0673527143333,69.57868929286688
02002U,Maseru,-29.31,27.48,286.8886772427993,22.865563912158827
02003U,Maseru,-29.31,27.48,283.31409516550235,12.077182613079788
03002U,Maseru,-29.31,27.48,191.0877608313182,16.738556198545528
03003U,Maseru,-29.31,27.48,193.18047751116384,20.50809321772534
04001U,Maseru,-29.31,27.48,204.2729884523373,31.76943949884387
04002U,Maseru,-29.31,27.48,272.27547111993204,23.303909936907736
04003U,Maseru,-29.31,27.48,270.178218444975,25.94737781467415
05001U,Maseru,-29.31,27.48,14.997165676362323,73.33485144130512
05002U,Maseru,-29.31,27.48,93.55087297359077,15.657007929407392
05003U,Maseru,-29.31,27.48,89.57904057190513,17.32951899847119
06002U,Maseru,-29.31,27.48,230.60503751659576,23.559851413277503
06003U,Maseru,-29.31,27.48,277.66460781295945,13.617660712285112
06003U,Maseru,-29.31,27.48,199.5955714235796,41.630306834020516
07001U,Maseru,-29.31,27.48,281.5448589214808,36.93637285954078
07002U,Maseru,-29.31,27.48,76.40107913399672,14.715576644156087
08001U,Maseru,-29.31,27.48,116.59884258699375,14.911813029323566
08001U,Maseru,-29.31,27.48,125.76333721804191,11.354906271142793
08003U,Maseru,-29.31,27.48,288.9061864869992,25.890474017354663
09002U,Maseru,-29.31,27.48,87.85960469038355,30.877622956779216
09002U,Maseru,-29.31,27.48,239.0340767963889,12.150975123895668
09003U,Maseru,-29.31,27.48,174.45805792976768,14.122829038691547
10001U,Maseru,-29.31,27.48,288.05270603460025,28.010875528952965
10002U,Maseru,-29.31,27.48,94.38017558168245,10.973159066685334
10003U,Maseru,-29.31,27.48,177.4381277340844,20.453277446165078
