Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Mombasa,-4.05,39.6667,143.66290141427402,19.1951209322574
01002U,Mombasa,-4.05,39.6667,168.22778716194813,24.567099953605755
01003U,Mombasa,-4.05,39.6667,221.01097716508446,21.24357920153396
03002U,Mombasa,-4.05,39.6667,185.75084048621972,25.729489812925678
03003U,Mombasa,-4.05,39.6667,197.67825523322006,22.399294435098778
05001U,Mombasa,-4.05,39.6667,183.7605684852504,15.671229943322187
05002U,Mombasa,-4.05,39.6667,211.910520759652,12.790309210192563
05002U,Mombasa,-4.05,39.6667,177.37320338372407,13.775376830369733
05003U,Mombasa,-4.05,39.6667,215.8964486118505,13.967239733961994
05003U,Mombasa,-4.05,39.6667,165.3371251388263,13.092592998904426
06001U,Mombasa,-4.05,39.6667,182.2161435840919,24.301795346846593
07002U,Mombasa,-4.05,39.6667,218.31879736287007,21.191872899156458
07003U,Mombasa,-4.05,39.6667,192.69632531853907,26.44818445005909
09001U,Mombasa,-4.05,39.6667,154.28874179148116,17.444047986645057
09002U,Mombasa,-4.05,39.6667,231.06181031420425,10.403263049519618
09003U,Mombasa,-4.05,39.6667,171.97854856968956,26.158155847485773
10002U,Mombasa,-4.05,39.6667,202.0557659567165,13.29380347990118
10003U,Mombasa,-4.05,39.6667,178.4720588972448,23.59396941506999
