Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Monrovia,6.3133,-10.8014,79.25232478852436,24.07879126589758
01001U,Monrovia,6.3133,-10.8014,321.26075421893404,14.572005530198611
01002U,Monrovia,6.3133,-10.8014,236.1897765419973,12.889706301924214
01002U,Monrovia,6.3133,-10.8014,188.14175486138558,11.569263609546633
01003U,Monrovia,6.3133,-10.8014,214.48698947639588,10.051721745770434
02001U,Monrovia,6.3133,-10.8014,170.60054153356813,10.121526917590437
03001U,Monrovia,6.3133,-10.8014,118.70100787868078,25.561489819781862
03001U,Monrovia,6.3133,-10.8014,151.07063457736527,17.338013335213553
03002U,Monrovia,6.3133,-10.8014,123.56168220349984,20.203745022122202
03003U,Monrovia,6.3133,-10.8014,118.191262849428,40.82840813305313
04002U,Monrovia,6.3133,-10.8014,300.0757484646796,20.706182999480667
04003U,Monrovia,6.3133,-10.8014,292.74016598203787,22.37186052259162
05001U,Monrovia,6.3133,-10.8014,54.901712731468436,13.83694743235334
05002U,Monrovia,6.3133,-10.8014,78.92636195732327,10.837810533263765
05003U,Monrovia,6.3133,-10.8014,73.96763676377259,10.126508261388318
06002U,Monrovia,6.3133,-10.8014,223.16341778918024,45.65295084050727
06003U,Monrovia,6.3133,-10.8014,304.0642435707837,13.520116812523058
06003U,Monrovia,6.3133,-10.8014,168.3354263117396,59.81350626295245
07001U,Monrovia,6.3133,-10.8014,304.3505328837815,27.806209036779798
07003U,Monrovia,6.3133,-10.8014,195.96402323840908,11.576877052772192
08002U,Monrovia,6.3133,-10.8014,186.63285307880574,18.638439290007497
08003U,Monrovia,6.3133,-10.8014,136.82736558664067,15.950736338840539
09001U,Monrovia,6.3133,-10.8014,0.5673694771535861,11.57266536375474
09002U,Monrovia,6.3133,-10.8014,59.23741122450825,20.929452995483395
09002U,Monrovia,6.3133,-10.8014,247.41070179606578,13.601772381184826
09003U,Monrovia,6.3133,-10.8014,174.2162865708054,24.238202364479918
10001U,Monrovia,6.3133,-10.8014,17.68285497957809,15.449572230659024
