Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Mwanza,-2.5167,32.9,118.33681498633997,37.64263242122751
01002U,Mwanza,-2.5167,32.9,167.47133932464425,56.54444564929935
01003U,Mwanza,-2.5167,32.9,256.82310994063494,28.547873340188424
03001U,Mwanza,-2.5167,32.9,188.61250228536235,21.33939792036374
03001U,Mwanza,-2.5167,32.9,188.00941186087604,10.032507307238845
03002U,Mwanza,-2.5167,32.9,214.0418291258148,53.56177002778994
03003U,Mwanza,-2.5167,32.9,229.48739802171715,40.98377150616475
04002U,Mwanza,-2.5167,32.9,142.53228593428184,11.647652507123611
04003U,Mwanza,-2.5167,32.9,136.17410544586653,10.811175716551283
05001U,Mwanza,-2.5167,32.9,198.64565350523873,34.80717052920313
05002U,Mwanza,-2.5167,32.9,235.40373601895027,21.209950679132334
05002U,Mwanza,-2.5167,32.9,184.4020724823907,30.361841689519444
05003U,Mwanza,-2.5167,32.9,241.47347156315166,21.627718281556977
05003U,Mwanza,-2.5167,32.9,163.4367606602059,29.560760000097588
06001U,Mwanza,-2.5167,32.9,207.3973252116805,54.77180685038337
07002U,Mwanza,-2.5167,32.9,253.88202865117054,29.578546818971617
07003U,Mwanza,-2.5167,32.9,230.26344421969338,50.891120269748605
08001U,Mwanza,-2.5167,32.9,226.42963435479678,10.19298657249895
09001U,Mwanza,-2.5167,32.9,139.09027146028717,38.60824285012145
09002U,Mwanza,-2.5167,32.9,254.11263546994002,13.775826608928135
09003U,Mwanza,-2.5167,32.9,178.93559230449006,60.698365982816576
10001U,Mwanza,-2.5167,32.9,98.51873139742833,11.194970784074373
10002U,Mwanza,-2.5167,32.9,123.73181906435893,10.491910912549907
10002U,Mwanza,-2.5167,32.9,223.14865578619208,24.61462312736329
10003U,Mwanza,-2.5167,32.9,204.65137850138163,60.77823755001066
