Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Nairobi,-1.2864,36.8172,146.17268605787623,29.57490102532145
01002U,Nairobi,-1.2864,36.8172,181.96843554330658,35.06292119415264
01003U,Nairobi,-1.2864,36.8172,239.91357214691186,21.584373672329626
03001U,Nairobi,-1.2864,36.8172,190.7369404214651,12.922856340342033
03002U,Nairobi,-1.2864,36.8172,205.06887461834816,33.16919454710439
03003U,Nairobi,-1.2864,36.8172,216.61575941191995,26.819234803778706
05001U,Nairobi,-1.2864,36.8172,197.73038553397356,21.143880261177063
05002U,Nairobi,-1.2864,36.8172,226.14886416778143,14.28527108067125
05002U,Nairobi,-1.2864,36.8172,188.08580831099627,19.219241939069022
05003U,Nairobi,-1.2864,36.8172,230.77272170152426,15.039198943092114
05003U,Nairobi,-1.2864,36.8172,173.35153325069473,19.413911789586752
06001U,Nairobi,-1.2864,36.8172,201.25253281955784,32.47106500853014
07002U,Nairobi,-1.2864,36.8172,237.2563760385362,21.958322155349922
07003U,Nairobi,-1.2864,36.8172,214.10477003491525,32.56578244164597
09001U,Nairobi,-1.2864,36.8172,160.78788867632355,26.684651609991906
09003U,Nairobi,-1.2864,36.8172,188.12682504562693,36.711210331273804
10001U,Nairobi,-1.2864,36.8172,113.10030654241827,11.042623678354474
10002U,Nairobi,-1.2864,36.8172,216.06929297325865,15.959873704877253
10003U,Nairobi,-1.2864,36.8172,198.97117683660778,33.19505805459404
