Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Ouagadougou,12.3686,-1.5275,146.7368047680082,31.691944965903005
01001U,Ouagadougou,12.3686,-1.5275,276.86902594091794,13.014667193390398
01003U,Ouagadougou,12.3686,-1.5275,19.618866616643366,28.27109805859762
02002U,Ouagadougou,12.3686,-1.5275,316.1377492840356,18.137290988150863
03001U,Ouagadougou,12.3686,-1.5275,168.6752914312486,15.141603693326976
03002U,Ouagadougou,12.3686,-1.5275,162.55791718349926,12.460791283603665
03002U,Ouagadougou,12.3686,-1.5275,80.38684924336411,12.697374690506573
03003U,Ouagadougou,12.3686,-1.5275,179.67307496276024,21.7455801882612
03003U,Ouagadougou,12.3686,-1.5275,92.79772021139556,18.13568601806177
04002U,Ouagadougou,12.3686,-1.5275,261.0665688465214,12.068021315613732
04003U,Ouagadougou,12.3686,-1.5275,255.1817436738288,11.222611802357862
05001U,Ouagadougou,12.3686,-1.5275,97.0305353916398,41.103401670585654
05002U,Ouagadougou,12.3686,-1.5275,115.57326688810417,20.461427748121878
05003U,Ouagadougou,12.3686,-1.5275,108.19365268247306,21.810872754870665
06001U,Ouagadougou,12.3686,-1.5275,91.59559916270747,11.896420481450352
06002U,Ouagadougou,12.3686,-1.5275,216.29368882461023,13.170111982382062
06003U,Ouagadougou,12.3686,-1.5275,202.13693145018183,18.692155741494236
07001U,Ouagadougou,12.3686,-1.5275,22.06210403730219,11.689396132263507
07001U,Ouagadougou,12.3686,-1.5275,254.5275145672298,15.616402729323957
08003U,Ouagadougou,12.3686,-1.5275,320.16661338850713,21.896691242787444
09001U,Ouagadougou,12.3686,-1.5275,321.0017990962235,27.92775234428612
09002U,Ouagadougou,12.3686,-1.5275,117.79017105066357,47.36797925166174
09003U,Ouagadougou,12.3686,-1.5275,81.35037223205231,11.77380352145433
10001U,Ouagadougou,12.3686,-1.5275,332.5092392904499,50.76000051154698
10002U,Ouagadougou,12.3686,-1.5275,116.25037027620357,14.91582949430623
