Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Port Harcourt,4.8242,7.0336,227.45722264256813,24.577261228712086
01003U,Port Harcourt,4.8242,7.0336,85.83627722647316,25.185910370846198
02002U,Port Harcourt,4.8242,7.0336,274.2187750852482,13.846446164651441
02002U,Port Harcourt,4.8242,7.0336,301.9656190022618,70.94367953329535
02003U,Port Harcourt,4.8242,7.0336,312.481172891077,37.832565931570095
03001U,Port Harcourt,4.8242,7.0336,329.3154054490058,10.569226187189324
03001U,Port Harcourt,4.8242,7.0336,315.15725539445054,15.929874486194215
04002U,Port Harcourt,4.8242,7.0336,221.30721525479848,16.80820603822531
04002U,Port Harcourt,4.8242,7.0336,14.592535589565962,19.74272551415891
04003U,Port Harcourt,4.8242,7.0336,216.9783928108371,13.853264468617184
04003U,Port Harcourt,4.8242,7.0336,21.525940137972448,17.320036809484105
05001U,Port Harcourt,4.8242,7.0336,124.24318817311254,10.96619584578197
05001U,Port Harcourt,4.8242,7.0336,291.6087736102715,34.11049676272021
05003U,Port Harcourt,4.8242,7.0336,346.2011756270764,10.508847892548484
06002U,Port Harcourt,4.8242,7.0336,240.8289151805542,11.492651394361099
06003U,Port Harcourt,4.8242,7.0336,234.53993234112883,16.41756595088208
07001U,Port Harcourt,4.8242,7.0336,64.9521355531282,13.54915652537278
07001U,Port Harcourt,4.8242,7.0336,207.63811017223097,16.741319598243397
07002U,Port Harcourt,4.8242,7.0336,335.07174261841504,33.73844150509217
07003U,Port Harcourt,4.8242,7.0336,27.873535458264566,21.815000951248035
08002U,Port Harcourt,4.8242,7.0336,293.8973760416192,23.995089332631867
08003U,Port Harcourt,4.8242,7.0336,271.5121830443758,12.022436106186554
08003U,Port Harcourt,4.8242,7.0336,351.2236231699429,84.29036520565846
09001U,Port Harcourt,4.8242,7.0336,127.28004110250481,69.95366658072845
09002U,Port Harcourt,4.8242,7.0336,131.38534819597822,13.16540780952288
10001U,Port Harcourt,4.8242,7.0336,130.2027487083761,33.71836670746212
10002U,Port Harcourt,4.8242,7.0336,27.944734044712582,11.586278827735695
