Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Serekunda,13.4333,-16.6667,24.06672568597356,30.49822967684788
01002U,Serekunda,13.4333,-16.6667,216.16715145127955,16.639737517637965
02001U,Serekunda,13.4333,-16.6667,197.4718597291164,20.72257085739018
02002U,Serekunda,13.4333,-16.6667,124.25129069981864,14.989482398307999
02003U,Serekunda,13.4333,-16.6667,156.09597982984982,22.10205537251406
03001U,Serekunda,13.4333,-16.6667,53.34159541482342,68.68333021294204
03001U,Serekunda,13.4333,-16.6667,180.2145978399275,42.69969822093751
03002U,Serekunda,13.4333,-16.6667,105.83605761118308,55.497205320774775
03003U,Serekunda,13.4333,-16.6667,340.39907693182255,64.94743329916798
04003U,Serekunda,13.4333,-16.6667,141.88753008654237,11.863030112973055
05001U,Serekunda,13.4333,-16.6667,18.423660841205773,12.794682782378754
05001U,Serekunda,13.4333,-16.6667,187.17434345823793,19.380528555452134
05002U,Serekunda,13.4333,-16.6667,47.57395647819038,17.363414661558934
05003U,Serekunda,13.4333,-16.6667,43.54453501529104,15.075310602131507
06002U,Serekunda,13.4333,-16.6667,276.4076477258762,25.970560997039858
06003U,Serekunda,13.4333,-16.6667,289.8690005530533,41.947553986043914
07001U,Serekunda,13.4333,-16.6667,214.50762587818767,15.070360394893193
07003U,Serekunda,13.4333,-16.6667,223.68665463618206,14.380710703309735
08001U,Serekunda,13.4333,-16.6667,107.592659440108,19.757879974535324
08001U,Serekunda,13.4333,-16.6667,102.11957100104847,25.339997313886435
08002U,Serekunda,13.4333,-16.6667,113.47833260574055,13.225001208273092
08002U,Serekunda,13.4333,-16.6667,224.05262996420248,24.44418948928757
08003U,Serekunda,13.4333,-16.6667,143.40367764441575,43.416530584325514
09002U,Serekunda,13.4333,-16.6667,17.09961132556815,20.159613414444053
09003U,Serekunda,13.4333,-16.6667,223.62210149991387,36.24623735423856
10001U,Serekunda,13.4333,-16.6667,70.9296208493708,11.302300795465522
10001U,Serekunda,13.4333,-16.6667,217.40413202563767,10.774329277998802
10002U,Serekunda,13.4333,-16.6667,57.58397627551976,15.436401126642178
10003U,Serekunda,13.4333,-16.6667,131.92448322911443,13.970657857945223
