Satellite,City,Latitude,Longitude,Azimuth,Elevation
01003U,Windhoek,-22.57,17.0836,31.729415367687935,13.110592692428591
02001U,Windhoek,-22.57,17.0836,324.90732771741824,15.818639599494595
02002U,Windhoek,-22.57,17.0836,128.46947257903528,17.400067982553978
02003U,Windhoek,-22.57,17.0836,156.4013663599957,15.561935199470202
03002U,Windhoek,-22.57,17.0836,251.32691580260513,27.376103348254944
03003U,Windhoek,-22.57,17.0836,46.74338501681745,10.150250620909375
03003U,Windhoek,-22.57,17.0836,261.39483416903704,28.653903530528225
04001U,Windhoek,-22.57,17.0836,287.9789543418801,24.963997042400045
05001U,Windhoek,-22.57,17.0836,335.27827687861407,16.308671943577405
05002U,Windhoek,-22.57,17.0836,43.61393940962643,20.57422613811418
05003U,Windhoek,-22.57,17.0836,37.94661615826628,19.884789813189478
06001U,Windhoek,-22.57,17.0836,222.8452071033983,18.243005367369577
06002U,Windhoek,-22.57,17.0836,283.10532906911664,14.51294179853637
06003U,Windhoek,-22.57,17.0836,298.9993433674401,28.148541479536917
07002U,Windhoek,-22.57,17.0836,33.76769570095496,13.144431319531568
08001U,Windhoek,-22.57,17.0836,62.398247748852164,34.902845106967604
08001U,Windhoek,-22.57,17.0836,84.44438840414456,37.88142543316973
08002U,Windhoek,-22.57,17.0836,168.67333019396665,20.28008096303628
08002U,Windhoek,-22.57,17.0836,106.57909973376346,10.346708670866208
08003U,Windhoek,-22.57,17.0836,132.8193817881294,16.827857014319218
09002U,Windhoek,-22.57,17.0836,15.086475574236532,24.59295465696601
09003U,Windhoek,-22.57,17.0836,225.91323616706387,37.54027839969158
10002U,Windhoek,-22.57,17.0836,53.418453762289666,17.043772640367862
10003U,Windhoek,-22.57,17.0836,273.1682312761838,35.93922611948163
