Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Yaoundé,3.8667,11.5167,209.64825364276945,17.115967364020893
01003U,Yaoundé,3.8667,11.5167,107.07831918708565,21.326513428987177
02002U,Yaoundé,3.8667,11.5167,258.036009168198,15.00768717065574
02002U,Yaoundé,3.8667,11.5167,192.62874672712815,58.8771485033902
02003U,Yaoundé,3.8667,11.5167,274.1071577603834,53.37668623981549
03001U,Yaoundé,3.8667,11.5167,322.6845541109773,18.44869603196251
03001U,Yaoundé,3.8667,11.5167,300.5485394425486,24.64446164326008
04002U,Yaoundé,3.8667,11.5167,209.6273323864178,11.365301953035384
04002U,Yaoundé,3.8667,11.5167,27.860052250543156,30.90015807108102
04003U,Yaoundé,3.8667,11.5167,35.4493100286901,26.067897307302488
05001U,Yaoundé,3.8667,11.5167,255.26346410035413,39.89222696551825
05002U,Yaoundé,3.8667,11.5167,332.04171806395226,17.041645777290498
05003U,Yaoundé,3.8667,11.5167,345.39774573874723,18.90326958189628
06003U,Yaoundé,3.8667,11.5167,220.37499218958135,12.214984274720665
07001U,Yaoundé,3.8667,11.5167,82.62822812726552,14.186821996639525
07001U,Yaoundé,3.8667,11.5167,198.20201953396412,10.152130640605673
07002U,Yaoundé,3.8667,11.5167,319.91950930072926,56.457659576572766
07003U,Yaoundé,3.8667,11.5167,46.75998903629172,30.844889753011252
08002U,Yaoundé,3.8667,11.5167,269.8536422952646,29.828433418312102
08003U,Yaoundé,3.8667,11.5167,256.1079676329507,12.788146509481445
08003U,Yaoundé,3.8667,11.5167,167.47898739718266,55.8100386914617
09001U,Yaoundé,3.8667,11.5167,155.48617398281772,40.55126565757328
09001U,Yaoundé,3.8667,11.5167,354.5883092135727,10.2515407439985
10001U,Yaoundé,3.8667,11.5167,144.3305661562661,20.709128756263773
10002U,Yaoundé,3.8667,11.5167,39.665417912480294,17.415671451055992
