Satellite,City,Latitude,Longitude,Azimuth,Elevation
01001U,Zanzibar,-6.165,39.199,135.31735174870926,17.59770174465529
01002U,Zanzibar,-6.165,39.199,157.81568135920133,24.478964966435704
01003U,Zanzibar,-6.165,39.199,214.5695375716273,24.91101286869018
03002U,Zanzibar,-6.165,39.199,175.2253979911923,27.19767604481211
03003U,Zanzibar,-6.165,39.199,188.7026955248611,24.654934595660407
05001U,Zanzibar,-6.165,39.199,175.46035535121274,16.610114625058834
05002U,Zanzibar,-6.165,39.199,206.18785078313212,14.94251202609723
05002U,Zanzibar,-6.165,39.199,170.02793994009483,14.284006095064312
05003U,Zanzibar,-6.165,39.199,210.2985763922608,16.40243973276681
05003U,Zanzibar,-6.165,39.199,158.05600878878462,12.972590603787156
06001U,Zanzibar,-6.165,39.199,171.3631030348256,25.432051625750262
07002U,Zanzibar,-6.165,39.199,211.56565379138917,24.700958682897117
07003U,Zanzibar,-6.165,39.199,182.11196811329538,28.617112423619716
09001U,Zanzibar,-6.165,39.199,145.70981844194765,16.558473430585696
09002U,Zanzibar,-6.165,39.199,227.35880535450218,12.88961223676351
09003U,Zanzibar,-6.165,39.199,160.9773435652299,26.37769402649967
10002U,Zanzibar,-6.165,39.199,195.56303021668134,15.054000607694869
10003U,Zanzibar,-6.165,39.199,166.47112148776057,24.38881024378887
